16.0708:00,Gyeongnam,0,2,Jeonnam,2
16.0707:00,Busan,2,3,Seongnam,5
15.0708:00,Asan,2,3,Anyang,5
15.0707:30,Gimpo FC,2,1,Gimcheon Sangmu,3
15.0707:30,Ansan Greeners,0,2,Bucheon FC,2
15.0707:00,Cheonan City,2,2,Cheongju,4
10.0707:30,Gimcheon Sangmu,2,1,Busan,3
10.0707:00,Asan,3,3,Jeonnam,6
09.0706:30,Seongnam,0,0,Gimpo FC,0
09.0706:30,Gyeongnam,3,1,Ansan Greeners,4
08.0706:00,Cheonan City,0,0,Seoul E-Land,0
08.0706:00,Cheongju,2,1,Anyang,3
03.0707:00,Cheongju,0,0,Seongnam,0
03.0707:00,Jeonnam,3,3,Seoul E-Land,6
02.0707:30,Gimpo FC,1,1,Asan,2
02.0706:30,Anyang,2,4,Gyeongnam,6
01.0707:30,Bucheon FC,0,3,Gimcheon Sangmu,3
01.0706:30,Ansan Greeners,1,2,Busan,3
25.0606:30,Gimpo FC,1,2,Jeonnam,3
25.0606:30,Seoul E-Land,1,2,Anyang,3
25.0604:00,Asan,1,0,Ansan Greeners,1
24.0608:03,Gimcheon Sangmu,4,1,Cheonan City,5
24.0606:30,Seongnam,0,1,Bucheon FC,1
24.0604:00,Busan,1,1,Cheongju,2
11.0608:00,Seongnam,1,2,Seoul E-Land,3
11.0604:00,Cheongju,3,1,Jeonnam,4
11.0604:00,Bucheon FC,1,1,Cheonan City,2
10.0608:00,Busan,0,0,Gimpo FC,0
10.0606:30,Gyeongnam,2,1,Asan,3
10.0604:00,Gimcheon Sangmu,3,2,Ansan Greeners,5
04.0608:00,Jeonnam,1,0,Gimcheon Sangmu,1
04.0606:30,Seoul E-Land,1,2,Busan,3
04.0604:00,Gimpo FC,1,2,Cheongju,3
03.0608:00,Anyang,2,2,Bucheon FC,4
03.0606:30,Asan,2,0,Seongnam,2
03.0604:00,Cheonan City,2,3,Gyeongnam,5
29.0504:00,Bucheon FC,2,0,Gimpo FC,2
28.0506:30,Ansan Greeners,1,2,Seoul E-Land,3
28.0504:00,Busan,2,0,Asan,2
27.0506:30,Seongnam,1,2,Anyang,3
27.0504:00,Jeonnam,2,0,Cheonan City,2
27.0504:00,Cheongju,0,2,Gyeongnam,2
21.0506:30,Gimcheon Sangmu,0,0,Cheongju,0
21.0504:00,Gyeongnam,1,2,Busan,3
20.0506:30,Anyang,2,0,Jeonnam,2
20.0506:30,Seoul E-Land,2,0,Bucheon FC,2
20.0504:00,Ansan Greeners,0,3,Seongnam,3
20.0504:00,Cheonan City,0,1,Asan,1
14.0506:30,Cheongju,3,0,Ansan Greeners,3
14.0504:00,Asan,0,1,Gimpo FC,1
14.0501:30,Gyeongnam,2,2,Seongnam,4
13.0506:30,Busan,0,1,Bucheon FC,1
13.0504:00,Gimcheon Sangmu,0,0,Anyang,0
13.0501:30,Seoul E-Land,3,2,Cheonan City,5
07.0506:30,Seongnam,2,2,Gimcheon Sangmu,4
07.0504:00,Anyang,0,3,Busan,3
07.0501:30,Bucheon FC,5,2,Jeonnam,7
06.0504:00,Gimpo FC,0,0,Seoul E-Land,0
06.0504:00,Cheongju,2,1,Cheonan City,3
06.0501:30,Ansan Greeners,1,1,Gyeongnam,2
03.0507:30,Gimpo FC,0,0,Seongnam,0
03.0507:30,Ansan Greeners,2,3,Gimcheon Sangmu,5
03.0507:00,Gyeongnam,1,2,Seoul E-Land,3
02.0507:30,Bucheon FC,2,1,Asan,3
02.0507:00,Jeonnam,1,1,Busan,2
02.0507:00,Cheonan City,0,4,Anyang,4
30.0404:00,Seoul E-Land,1,2,Seongnam,3
30.0401:30,Gimcheon Sangmu,0,2,Gimpo FC,2
29.0406:30,Anyang,1,0,Cheongju,1
29.0404:00,Gyeongnam,2,1,Cheonan City,3
29.0404:00,Busan,0,0,Ansan Greeners,0
29.0401:30,Jeonnam,2,1,Asan,3
23.0406:30,Ansan Greeners,1,0,Jeonnam,1
23.0404:00,Cheongju,0,4,Bucheon FC,4
23.0401:30,Asan,2,2,Gyeongnam,4
22.0406:30,Seoul E-Land,0,1,Gimcheon Sangmu,1
22.0404:00,Seongnam,1,3,Busan,4
22.0401:30,Anyang,1,2,Gimpo FC,3
19.0407:30,Cheonan City,1,1,Ansan Greeners,2
19.0407:30,Gimcheon Sangmu,2,1,Jeonnam,3
19.0407:00,Gimpo FC,1,0,Busan,1
18.0407:30,Gyeongnam,3,2,Anyang,5
18.0407:00,Bucheon FC,0,1,Seoul E-Land,1
18.0407:00,Cheongju,0,4,Asan,4
16.0404:00,Ansan Greeners,2,3,Gimpo FC,5
16.0401:30,Seongnam,2,0,Cheonan City,2
15.0406:30,Busan,0,0,Gyeongnam,0
15.0404:00,Gimcheon Sangmu,4,1,Bucheon FC,5
15.0404:00,Asan,2,0,Seoul E-Land,2
15.0401:30,Jeonnam,3,0,Cheongju,3
09.0406:30,Asan,1,1,Busan,2
09.0404:00,Seoul E-Land,4,1,Ansan Greeners,5
09.0401:30,Cheongju,0,0,Gimpo FC,0
08.0406:30,Jeonnam,2,2,Seongnam,4
08.0404:00,Bucheon FC,2,4,Anyang,6
08.0401:30,Cheonan City,0,2,Gimcheon Sangmu,2
02.0406:30,Cheonan City,1,3,Jeonnam,4
02.0404:00,Busan,1,0,Seoul E-Land,1
02.0401:30,Gimcheon Sangmu,0,2,Gyeongnam,2
01.0406:30,Gimpo FC,1,1,Bucheon FC,2
01.0404:00,Seongnam,3,2,Cheongju,5
01.0401:30,Anyang,3,0,Asan,3
19.0304:00,Anyang,2,1,Seongnam,3
19.0304:00,Jeonnam,0,2,Gimpo FC,2
19.0301:30,Busan,3,1,Gimcheon Sangmu,4
18.0304:00,Gyeongnam,2,2,Cheongju,4
18.0304:00,Bucheon FC,1,0,Ansan Greeners,1
18.0301:30,Asan,1,0,Cheonan City,1
12.0304:00,Cheonan City,0,3,Bucheon FC,3
12.0301:30,Seongnam,0,0,Asan,0
12.0301:30,Ansan Greeners,1,1,Anyang,2
11.0304:00,Cheongju,1,1,Busan,2
11.0304:00,Gimpo FC,0,0,Gyeongnam,0
11.0301:30,Seoul E-Land,0,1,Jeonnam,1
05.0304:00,Anyang,1,1,Seoul E-Land,2
05.0304:00,Jeonnam,0,5,Gyeongnam,5
05.0301:30,Gimpo FC,4,0,Cheonan City,4
04.0304:00,Ansan Greeners,1,0,Asan,1
04.0301:30,Bucheon FC,1,0,Seongnam,1
04.0301:30,Cheongju,0,2,Gimcheon Sangmu,2
01.0304:00,Seongnam,2,1,Ansan Greeners,3
01.0304:00,Asan,1,2,Gimcheon Sangmu,3
01.0304:00,Seoul E-Land,2,3,Cheongju,5
01.0301:30,Jeonnam,0,1,Anyang,1
01.0301:30,Gyeongnam,1,0,Bucheon FC,1
01.0301:30,Cheonan City,2,3,Busan,5
15.1003:00,Gyeongnam,1,0,Anyang,1
15.1003:00,Ansan Greeners,1,2,Daejeon,3
15.1003:00,Asan,0,0,Gwangju FC,0
15.1003:00,Seoul E-Land,0,1,Busan,1
15.1003:00,Bucheon FC,2,2,Jeonnam,4
09.1004:00,Gwangju FC,4,0,Gyeongnam,4
09.1001:30,Busan,4,0,Asan,4
08.1006:30,Gimpo FC,0,3,Daejeon,3
08.1004:00,Jeonnam,3,0,Seoul E-Land,3
08.1001:30,Anyang,1,0,Bucheon FC,1
05.1007:30,Asan,2,1,Seoul E-Land,3
05.1007:00,Daejeon,2,1,Jeonnam,3
02.1004:00,Gyeongnam,2,0,Jeonnam,2
02.1001:30,Daejeon,2,2,Gwangju FC,4
01.1006:30,Anyang,2,0,Ansan Greeners,2
01.1004:00,Seoul E-Land,3,0,Bucheon FC,3
01.1001:30,Gimpo FC,1,0,Asan,1
26.0907:30,Gwangju FC,3,0,Ansan Greeners,3
26.0907:00,Jeonnam,0,1,Busan,1
25.0904:00,Seoul E-Land,3,2,Anyang,5
25.0901:30,Daejeon,3,0,Gyeongnam,3
24.0904:00,Bucheon FC,0,1,Gimpo FC,1
21.0907:30,Seoul E-Land,0,1,Gyeongnam,1
21.0907:00,Anyang,0,1,Daejeon,1
17.0906:30,Ansan Greeners,1,1,Seoul E-Land,2
17.0906:30,Asan,0,0,Anyang,0
17.0904:00,Gyeongnam,0,3,Bucheon FC,3
17.0904:00,Gimpo FC,0,0,Busan,0
17.0901:30,Jeonnam,1,1,Daejeon,2
14.0907:30,Anyang,1,2,Gwangju FC,3
14.0907:30,Seoul E-Land,3,0,Asan,3
14.0907:00,Ansan Greeners,1,7,Jeonnam,8
13.0907:30,Busan,1,3,Daejeon,4
13.0907:00,Gyeongnam,1,0,Gimpo FC,1
11.0904:00,Bucheon FC,3,3,Ansan Greeners,6
11.0901:30,Jeonnam,2,3,Gwangju FC,5
10.0906:30,Daejeon,1,1,Asan,2
10.0904:00,Busan,1,0,Gyeongnam,1
10.0901:30,Gimpo FC,0,3,Seoul E-Land,3
05.0907:30,Anyang,3,1,Jeonnam,4
05.0907:00,Seoul E-Land,2,1,Gyeongnam,3
04.0904:00,Ansan Greeners,3,1,Busan,4
03.0906:30,Gwangju FC,2,1,Gimpo FC,3
03.0904:00,Asan,0,3,Bucheon FC,3
31.0807:30,Seoul E-Land,2,1,Daejeon,3
31.0807:30,Gimpo FC,0,3,Ansan Greeners,3
31.0807:00,Asan,2,1,Gyeongnam,3
30.0807:30,Bucheon FC,2,1,Gwangju FC,3
30.0807:00,Busan,0,1,Anyang,1
28.0806:30,Gyeongnam,2,1,Ansan Greeners,3
28.0804:00,Jeonnam,1,3,Asan,4
27.0806:30,Daejeon,3,1,Bucheon FC,4
27.0806:30,Anyang,0,0,Gimpo FC,0
27.0804:00,Gwangju FC,1,0,Busan,1
22.0807:30,Bucheon FC,1,1,Busan,2
22.0807:00,Ansan Greeners,2,2,Asan,4
21.0808:00,Gimpo FC,1,1,Jeonnam,2
21.0806:00,Daejeon,2,3,Anyang,5
20.0807:00,Seoul E-Land,0,4,Gwangju FC,4
17.0807:30,Asan,0,1,Gimpo FC,1
17.0807:00,Gwangju FC,1,1,Jeonnam,2
17.0807:00,Gyeongnam,2,1,Daejeon,3
16.0807:00,Anyang,4,2,Bucheon FC,6
16.0807:00,Busan,1,0,Seoul E-Land,1
14.0808:00,Gimpo FC,1,3,Gyeongnam,4
14.0806:00,Daejeon,2,1,Asan,3
13.0808:00,Ansan Greeners,0,0,Gwangju FC,0
13.0808:00,Bucheon FC,0,0,Seoul E-Land,0
13.0806:00,Jeonnam,2,2,Anyang,4
08.0807:00,Jeonnam,1,1,Bucheon FC,2
08.0807:00,Gyeongnam,2,3,Anyang,5
07.0807:30,Daejeon,3,0,Busan,3
07.0807:00,Asan,0,2,Gwangju FC,2
06.0807:00,Seoul E-Land,2,2,Ansan Greeners,4
01.0807:30,Seoul E-Land,3,0,Gimpo FC,3
01.0807:30,Bucheon FC,3,1,Gyeongnam,4
31.0708:00,Ansan Greeners,3,0,Jeonnam,3
31.0707:30,Anyang,1,0,Busan,1
30.0707:00,Gwangju FC,1,0,Daejeon,1
27.0707:00,Busan,0,2,Gwangju FC,2
26.0707:30,Gimpo FC,1,1,Bucheon FC,2
26.0707:00,Gyeongnam,2,1,Ansan Greeners,3
24.0706:00,Jeonnam,0,0,Busan,0
23.0708:00,Ansan Greeners,3,1,Gimpo FC,4
23.0708:00,Bucheon FC,2,1,Asan,3
18.0707:30,Daejeon,3,1,Seoul E-Land,4
18.0707:00,Busan,0,1,Ansan Greeners,1
17.0706:00,Jeonnam,0,1,Gimpo FC,1
15.0707:30,Gyeongnam,0,1,Asan,1
15.0707:00,Gwangju FC,0,0,Anyang,0
11.0707:30,Gimpo FC,0,2,Anyang,2
11.0707:00,Seoul E-Land,2,2,Gwangju FC,4
10.0707:30,Asan,4,0,Jeonnam,4
09.0706:00,Gyeongnam,1,0,Busan,1
09.0706:00,Ansan Greeners,1,2,Bucheon FC,3
06.0707:30,Anyang,1,1,Asan,2
06.0707:30,Busan,0,3,Gimpo FC,3
06.0707:00,Jeonnam,1,1,Gyeongnam,2
05.0707:30,Daejeon,2,0,Ansan Greeners,2
05.0707:00,Gwangju FC,2,1,Bucheon FC,3
03.0708:00,Seoul E-Land,1,1,Jeonnam,2
03.0706:00,Asan,0,2,Busan,2
02.0708:00,Gimpo FC,0,0,Gwangju FC,0
02.0706:00,Ansan Greeners,1,4,Anyang,5
02.0706:00,Bucheon FC,2,0,Daejeon,2
26.0608:00,Daejeon,1,1,Gimpo FC,2
26.0608:00,Gwangju FC,1,4,Gyeongnam,5
26.0606:00,Busan,0,2,Bucheon FC,2
25.0608:00,Anyang,1,0,Seoul E-Land,1
25.0606:00,Asan,3,1,Ansan Greeners,4
22.0607:30,Seoul E-Land,2,3,Ansan Greeners,5
22.0607:30,Bucheon FC,0,1,Anyang,1
22.0607:00,Gyeongnam,0,0,Asan,0
21.0607:30,Gimpo FC,2,2,Jeonnam,4
21.0607:00,Daejeon,1,1,Gwangju FC,2
