17.0606:00,Essendon Royals,3,1,Geelong SC,4
17.0604:30,Caroline Springs,6,3,North Sunshine Eagles,9
17.0603:00,Box Hill United,2,1,Nunawading City,3
17.0602:00,Ballarat City,1,5,Melbourne Victory II,6
17.0602:00,Boroondara Carey SC,3,0,Beaumaris SC,3
17.0602:00,Doveton,2,2,Goulburn Valley Suns,4
11.0602:00,Melbourne Victory II,5,0,Doveton,5
10.0605:00,Geelong SC,1,1,Ballarat City,2
10.0602:00,Boroondara Carey SC,2,3,Caroline Springs,5
10.0602:00,Beaumaris SC,2,2,Goulburn Valley Suns,4
09.0607:15,Essendon Royals,2,2,Nunawading City,4
09.0606:30,Box Hill United,2,0,North Sunshine Eagles,2
03.0602:00,Ballarat City,1,5,Nunawading City,6
03.0602:00,Beaumaris SC,0,4,Melbourne Victory II,4
03.0602:00,Doveton,2,1,Geelong SC,3
03.0602:00,Boroondara Carey SC,1,2,Goulburn Valley Suns,3
02.0607:15,Essendon Royals,1,0,North Sunshine Eagles,1
02.0606:30,Box Hill United,1,2,Caroline Springs,3
27.0502:00,Ballarat City,0,3,North Sunshine Eagles,3
27.0502:00,Beaumaris SC,2,1,Geelong SC,3
27.0502:00,Boroondara Carey SC,6,1,Box Hill United,7
27.0502:00,Goulburn Valley Suns,2,1,Melbourne Victory II,3
27.0502:00,Doveton,1,0,Nunawading City,1
26.0507:15,Essendon Royals,0,1,Caroline Springs,1
21.0502:00,Melbourne Victory II,3,0,Boroondara Carey SC,3
20.0505:00,Geelong SC,2,1,Goulburn Valley Suns,3
20.0504:30,Caroline Springs,7,0,Ballarat City,7
20.0502:00,Nunawading City,2,1,Beaumaris SC,3
20.0502:00,North Sunshine Eagles,0,1,Doveton,1
19.0506:30,Box Hill United,1,1,Essendon Royals,2
14.0502:00,Melbourne Victory II,3,0,Geelong SC,3
13.0504:30,Caroline Springs,1,0,Doveton,1
13.0502:00,Beaumaris SC,2,3,North Sunshine Eagles,5
13.0502:00,Boroondara Carey SC,2,2,Essendon Royals,4
13.0502:00,Goulburn Valley Suns,2,1,Nunawading City,3
13.0502:00,Ballarat City,1,4,Box Hill United,5
06.0506:30,Nunawading City,2,1,Melbourne Victory II,3
06.0506:00,Essendon Royals,2,1,Ballarat City,3
06.0505:00,Geelong SC,0,0,Boroondara Carey SC,0
06.0504:30,Caroline Springs,4,1,Beaumaris SC,5
06.0502:00,North Sunshine Eagles,1,1,Goulburn Valley Suns,2
05.0506:30,Box Hill United,3,1,Doveton,4
30.0402:00,Melbourne Victory II,3,2,North Sunshine Eagles,5
29.0405:00,Geelong SC,0,2,Nunawading City,2
29.0402:00,Boroondara Carey SC,4,1,Ballarat City,5
29.0402:00,Goulburn Valley Suns,1,0,Caroline Springs,1
29.0402:00,Beaumaris SC,2,1,Box Hill United,3
29.0402:00,Doveton,1,0,Essendon Royals,1
22.0406:30,Nunawading City,3,4,Boroondara Carey SC,7
22.0404:30,Caroline Springs,0,0,Melbourne Victory II,0
22.0402:30,Box Hill United,1,1,Goulburn Valley Suns,2
22.0402:00,Ballarat City,2,6,Doveton,8
22.0402:00,North Sunshine Eagles,5,4,Geelong SC,9
21.0407:15,Essendon Royals,1,0,Beaumaris SC,1
15.0405:00,Geelong SC,2,1,Caroline Springs,3
15.0402:00,Goulburn Valley Suns,3,2,Essendon Royals,5
15.0402:00,Beaumaris SC,2,2,Ballarat City,4
15.0402:00,Doveton,0,2,Boroondara Carey SC,2
08.0404:30,Caroline Springs,1,4,Nunawading City,5
08.0402:30,Box Hill United,4,1,Geelong SC,5
08.0402:00,Ballarat City,1,2,Goulburn Valley Suns,3
08.0402:00,Essendon Royals,1,4,Melbourne Victory II,5
08.0402:00,Doveton,1,1,Beaumaris SC,2
07.0407:30,North Sunshine Eagles,1,0,Boroondara Carey SC,1
02.0402:00,Melbourne Victory II,2,1,Ballarat City,3
02.0402:00,Beaumaris SC,2,0,Boroondara Carey SC,2
01.0404:00,Geelong SC,2,2,Essendon Royals,4
01.0403:00,Goulburn Valley Suns,2,3,Doveton,5
01.0401:00,Nunawading City,3,1,Box Hill United,4
31.0306:30,North Sunshine Eagles,2,3,Caroline Springs,5
26.0300:00,Ballarat City,1,2,Geelong SC,3
25.0303:00,Goulburn Valley Suns,1,2,Beaumaris SC,3
25.0301:00,North Sunshine Eagles,5,2,Box Hill United,7
25.0301:00,Doveton,0,2,Melbourne Victory II,2
25.0301:00,Nunawading City,3,0,Essendon Royals,3
24.0306:00,Caroline Springs,1,2,Boroondara Carey SC,3
19.0301:00,Melbourne Victory II,3,1,Beaumaris SC,4
18.0304:00,Geelong SC,1,0,Doveton,1
18.0303:30,Caroline Springs,1,0,Box Hill United,1
18.0303:00,Goulburn Valley Suns,4,0,Boroondara Carey SC,4
18.0301:00,Nunawading City,2,1,Ballarat City,3
18.0301:00,North Sunshine Eagles,1,0,Essendon Royals,1
20.0802:00,Ballarat City,3,0,North Sunshine Eagles,3
20.0802:00,Western United II,4,1,Geelong SC,5
20.0802:00,Melbourne Victory II,0,1,Nunawading City,1
20.0802:00,Doveton,3,1,WhittleseaRanges,4
20.0802:00,SpringvaleWhiteEagles,2,6,Melbourne City II,8
20.0802:00,Box Hill United,0,3,Preston Lions,3
13.0805:00,Geelong SC,0,2,Melbourne Victory II,2
13.0805:00,Preston Lions,5,1,Ballarat City,6
13.0802:00,North Sunshine Eagles,3,3,Western United II,6
13.0802:00,WhittleseaRanges,0,3,SpringvaleWhiteEagles,3
13.0802:00,Nunawading City,1,1,Doveton,2
13.0802:00,Melbourne City II,2,2,Box Hill United,4
06.0805:00,Geelong SC,4,0,SpringvaleWhiteEagles,4
31.0702:00,Western United II,3,2,Ballarat City,5
30.0702:00,Melbourne Victory II,0,4,North Sunshine Eagles,4
30.0702:00,Doveton,2,4,Geelong SC,6
29.0707:30,SpringvaleWhiteEagles,0,4,Nunawading City,4
29.0707:00,Melbourne City II,0,1,Preston Lions,1
29.0706:30,Box Hill United,3,3,WhittleseaRanges,6
23.0702:00,Ballarat City,0,3,Melbourne Victory II,3
23.0702:00,WhittleseaRanges,2,4,Melbourne City II,6
23.0702:00,North Sunshine Eagles,3,0,Doveton,3
23.0702:00,Nunawading City,1,1,Box Hill United,2
22.0707:30,Preston Lions,2,1,Western United II,3
16.0702:00,Melbourne Victory II,0,2,Western United II,2
16.0702:00,Melbourne City II,0,0,Nunawading City,0
16.0702:00,Doveton,2,0,Ballarat City,2
16.0702:00,Box Hill United,2,1,Geelong SC,3
15.0707:30,Preston Lions,1,0,WhittleseaRanges,1
15.0707:30,SpringvaleWhiteEagles,2,3,North Sunshine Eagles,5
10.0702:00,North Sunshine Eagles,2,1,Box Hill United,3
09.0705:00,Geelong SC,1,4,Melbourne City II,5
09.0704:00,Western United II,0,1,Doveton,1
09.0702:00,Ballarat City,3,1,SpringvaleWhiteEagles,4
09.0702:00,Melbourne Victory II,0,1,Preston Lions,1
09.0702:00,Nunawading City,4,1,WhittleseaRanges,5
02.0702:00,WhittleseaRanges,1,1,Geelong SC,2
02.0702:00,Melbourne City II,2,1,North Sunshine Eagles,3
02.0702:00,Doveton,2,2,Melbourne Victory II,4
02.0702:00,Box Hill United,5,1,Ballarat City,6
01.0707:30,Preston Lions,2,0,Nunawading City,2
01.0707:30,SpringvaleWhiteEagles,2,0,Western United II,2
25.0605:00,Geelong SC,0,1,Nunawading City,1
25.0602:00,Ballarat City,0,5,Melbourne City II,5
25.0602:00,Melbourne Victory II,2,1,SpringvaleWhiteEagles,3
25.0602:00,North Sunshine Eagles,2,2,WhittleseaRanges,4
24.0607:30,Preston Lions,2,0,Doveton,2
24.0607:30,Western United II,2,1,Box Hill United,3
