1,CR Belouizdad,30,18,10,2,44,21,64
2,Constantine,30,14,8,8,39,26,50
3,MC Alger,30,12,11,7,21,20,47
4,El Bayadh,30,13,7,10,34,25,46
5,ASO Chlef,30,11,9,10,36,31,42
6,Khenchela,30,12,6,12,29,29,42
7,Saoura,30,11,9,10,32,25,42
8,ES Setif,30,11,9,10,38,32,42
9,Paradou,30,11,8,11,35,33,41
10,MC Oran,30,11,8,11,27,34,41
11,Magra,30,11,7,12,35,36,40
12,USM Alger,30,11,7,12,31,30,40
13,Biskra,30,10,10,10,30,29,40
14,Kabylie,30,10,9,11,35,26,39
15,RC Arbaa,30,10,6,14,39,43,36
16,Chelghoum,30,0,4,26,11,76,4
