1,FAR Rabat,30,20,7,3,50,19,67
2,Wydad Casablanca,30,19,9,2,47,21,66
3,FUS Rabat,30,15,10,5,36,16,55
4,Olympique de Safi,30,12,11,7,34,28,47
5,Raja Casablanca,30,11,11,8,31,26,44
6,Berkane,30,11,11,8,31,29,44
7,Hassania Agadir,30,10,9,11,30,29,39
8,Union Touarga,30,9,9,12,34,40,36
9,Jeunesse Sportive Soualem,30,9,9,12,31,40,36
10,Maghreb Fes,30,7,13,10,27,33,34
11,Mouloudia Oujda,30,8,8,14,30,35,32
12,Chabab Mohammedia,30,8,7,15,27,36,31
13,Moghreb Tetouan,30,6,12,12,28,41,30
14,IR Tanger,30,8,5,17,23,39,29
15,Olympique Khouribga,30,5,13,12,29,36,28
16,Difaa El Jadidi,30,5,10,15,24,44,25
