1,Alianza Lima,24,16,3,5,41,18,51
2,Sporting Cristal,24,13,10,1,47,21,49
3,Universitario de Deportes,24,15,3,6,41,16,48
4,Melgar,24,10,9,5,37,25,39
5,Cusco FC,23,12,3,8,30,28,39
6,Sport Huancayo,23,11,4,8,37,27,37
7,Universidad Cesar Vallejo,24,10,7,7,33,31,37
8,Carlos Mannucci,24,10,4,10,21,25,34
9,Deportivo Garcilaso,23,8,9,6,42,33,33
10,Cienciano,23,9,6,8,30,31,33
11,ADT Tarma,22,8,6,8,28,28,30
12,Sport Boys,23,8,4,11,17,28,28
13,Atletico Grau,24,7,6,11,34,31,27
14,Alianza Atletico,24,7,6,11,36,41,27
15,Deportivo Municipal,23,8,3,12,23,28,27
16,UTC Cajamarca,24,5,10,9,21,30,25
17,Deportivo Binacional,23,6,3,14,34,49,21
18,Union Comercio,24,5,5,14,27,54,20
19,Academia Cantolao,24,4,3,17,14,47,15
