1,Almirante Brown,26,13,8,5,28,21,47
2,Agropecuario,26,13,4,9,34,28,43
3,Moron,26,12,6,8,28,26,42
4,Nueva Chicago,25,10,9,6,26,14,39
5,San Martin (T),25,11,6,8,25,16,39
6,Estudiantes (RC),26,11,6,9,25,16,39
7,Defensores de Belgrano,26,11,6,9,23,23,39
8,Temperley,25,9,10,6,28,25,37
9,Defensores Unidos,26,10,7,9,21,18,37
10,San Martin (SJ),26,10,7,9,32,31,37
11,Gimnasia (M),25,8,12,5,25,20,36
12,Guemes,26,7,11,8,25,27,32
13,Patronato,25,8,7,10,25,24,31
14,All Boys,26,7,10,9,22,28,31
15,Alvarado,25,7,9,9,21,28,30
16,Almagro,26,6,8,12,15,23,26
17,Guillermo Brown,26,6,9,11,25,30,24
18,San Telmo,25,6,5,14,28,38,23
19,Flandria,25,6,5,14,25,42,23
